Positions,Noise-free data,Noisy Data,Unbiased_loss_predition
"(-0.77598, 0.12704)",1.0,-1.0,1
"(1.2456, 0.55537)",-1.0,-1.0,-1
"(0.85802, 0.39915)",-1.0,-1.0,-1
"(0.55423, 1.188)",-1.0,1.0,-1
"(-0.85076, -1.2623)",-1.0,-1.0,1
"(-0.41166, -0.68893)",-1.0,1.0,1
"(0.5506, 1.4767)",-1.0,-1.0,-1
"(-0.79458, 1.1718)",-1.0,-1.0,1
"(0.68296, 1.5985)",1.0,-1.0,-1
"(-0.38506, -0.73358)",1.0,-1.0,1
"(1.365, 0.48229)",-1.0,-1.0,-1
"(0.37176, -0.8094)",-1.0,1.0,1
"(0.27162, -1.6)",-1.0,-1.0,1
"(-0.50183, 1.8391)",1.0,-1.0,1
"(-0.88225, 1.2885)",-1.0,1.0,1
"(0.14966, 1.2992)",-1.0,1.0,-1
"(1.2863, -1.4298)",1.0,1.0,1
"(0.15472, 0.037312)",1.0,-1.0,1
"(1.7065, 1.3936)",1.0,1.0,1
"(0.17058, -0.88614)",-1.0,1.0,1
"(-1.4206, 0.27547)",-1.0,1.0,-1
"(2.4078, 1.2622)",1.0,1.0,1
"(0.8119, -0.19526)",1.0,1.0,1
"(1.09, -1.0975)",1.0,1.0,1
"(2.2037, 1.2567)",1.0,1.0,1
"(-0.59904, 1.4446)",-1.0,-1.0,1
"(-1.2077, -0.78467)",1.0,1.0,1
"(0.29737, -1.1116)",1.0,1.0,1
"(-0.17282, 1.5942)",-1.0,-1.0,-1
"(0.0027502, -0.055512)",1.0,-1.0,1
"(-0.19162, 0.79078)",1.0,-1.0,-1
"(-0.7861, -1.0201)",-1.0,-1.0,1
"(-1.2223, -0.67975)",1.0,1.0,1
"(2.064, -0.89342)",-1.0,-1.0,-1
"(0.020501, 1.2331)",-1.0,-1.0,-1
"(-0.71149, -1.1295)",-1.0,-1.0,1
"(-0.13445, -1.0963)",-1.0,1.0,1
"(0.3572, -1.0729)",-1.0,1.0,1
"(-0.55155, -1.1772)",-1.0,1.0,1
"(0.68255, 1.0664)",-1.0,-1.0,-1
"(-0.12152, -0.067095)",1.0,1.0,1
"(-0.75414, 1.1912)",-1.0,1.0,1
"(0.58654, -0.31097)",1.0,-1.0,1
"(-0.93556, -1.5002)",-1.0,1.0,1
"(0.2345, 0.95822)",-1.0,1.0,-1
"(1.053, -2.0781)",1.0,1.0,1
"(-0.11641, -1.2315)",-1.0,1.0,1
"(-0.15785, 0.35805)",1.0,1.0,1
"(-0.73377, 1.251)",-1.0,1.0,1
"(-0.67214, 0.68288)",1.0,1.0,1
"(-1.2399, 1.0031)",-1.0,-1.0,1
"(-0.8062, 0.94121)",-1.0,1.0,1
"(-0.53941, 0.29166)",1.0,-1.0,1
"(0.41597, 1.8599)",1.0,1.0,-1
"(-2.0934, -1.2221)",1.0,1.0,1
"(-0.63942, 0.52192)",1.0,1.0,1
"(-0.82404, 0.85814)",-1.0,-1.0,1
"(-1.1334, 0.92782)",-1.0,1.0,1
"(0.8507, 1.4647)",-1.0,-1.0,-1
"(-1.7658, 0.45721)",-1.0,-1.0,-1
"(-0.078167, -1.0955)",-1.0,-1.0,1
"(-0.98993, 0.2311)",1.0,-1.0,-1
"(-0.31518, -1.0943)",-1.0,1.0,1
"(0.56475, 1.5601)",1.0,1.0,-1
"(0.94074, 1.16)",-1.0,-1.0,-1
"(0.06617, 1.6207)",-1.0,1.0,-1
"(0.46578, 0.32212)",1.0,-1.0,-1
"(1.5485, -0.030483)",-1.0,-1.0,-1
"(1.3853, 1.5161)",1.0,1.0,1
"(-1.0173, 0.89854)",1.0,1.0,1
"(-1.295, -0.23017)",1.0,-1.0,-1
"(-0.018428, -1.1318)",-1.0,-1.0,1
"(1.0085, 0.47983)",-1.0,-1.0,-1
"(-1.0064, 1.2143)",-1.0,-1.0,1
"(0.22077, 0.9457)",1.0,1.0,-1
"(0.31395, 1.8405)",-1.0,-1.0,-1
"(0.92148, 0.3)",-1.0,1.0,-1
"(-1.4275, 0.091053)",1.0,1.0,-1
"(-0.24119, 0.77424)",1.0,1.0,1
"(-0.2411, -0.37411)",1.0,1.0,1
"(0.87419, -1.4105)",1.0,1.0,1
"(1.3062, 0.93553)",-1.0,-1.0,-1
"(0.85697, 0.87519)",-1.0,-1.0,-1
"(0.29804, 0.50916)",1.0,-1.0,-1
"(-0.34554, -1.4985)",-1.0,-1.0,1
"(1.2278, -0.087442)",-1.0,-1.0,-1
"(0.097077, 1.5843)",1.0,-1.0,-1
"(0.17104, 1.5882)",1.0,1.0,-1
"(-0.45476, 0.86823)",-1.0,-1.0,1
"(-0.73145, -0.90615)",-1.0,1.0,1
"(1.8752, -1.131)",-1.0,-1.0,-1
"(-0.7499, 1.1428)",-1.0,1.0,1
"(0.69786, 0.78367)",-1.0,-1.0,-1
"(-1.69, 0.70617)",-1.0,1.0,-1
"(0.40382, 0.0099855)",1.0,-1.0,1
"(0.61714, 1.1061)",-1.0,1.0,-1
"(-0.068251, -0.4035)",1.0,1.0,1
"(0.6158, 1.771)",1.0,1.0,-1
"(1.6863, -0.72352)",-1.0,-1.0,-1
"(-1.0018, 0.078044)",1.0,-1.0,-1
"(-0.71418, -1.6532)",-1.0,-1.0,1
"(0.91705, 0.23088)",-1.0,1.0,-1
"(0.27307, -1.448)",-1.0,1.0,1
"(-0.15346, 1.9689)",1.0,-1.0,-1
"(-0.8213, -1.4431)",-1.0,-1.0,1
"(1.4883, 0.38542)",-1.0,-1.0,-1
"(2.0924, 1.1005)",1.0,1.0,1
"(0.073679, 0.12377)",1.0,-1.0,1
"(0.81303, 1.0636)",-1.0,-1.0,-1
"(-0.55098, 0.28755)",1.0,1.0,1
"(-2.2499, 0.167)",-1.0,1.0,-1
"(1.0808, 0.37753)",-1.0,-1.0,-1
"(0.12736, 1.2194)",-1.0,1.0,-1
"(0.10804, -0.30421)",1.0,-1.0,1
"(-1.5765, -0.35174)",1.0,1.0,1
"(0.58613, 0.40249)",-1.0,-1.0,-1
"(-0.34742, -1.4986)",-1.0,-1.0,1
"(-2.095, 0.60379)",-1.0,-1.0,-1
"(0.22991, -1.1507)",-1.0,-1.0,1
"(-0.37689, -0.97267)",-1.0,1.0,1
"(1.4625, -0.4167)",1.0,1.0,-1
"(1.4878, -0.0077909)",-1.0,-1.0,-1
"(0.58356, 0.67858)",-1.0,-1.0,-1
"(0.023812, 0.083568)",1.0,-1.0,1
"(0.78364, 1.388)",-1.0,-1.0,-1
"(-0.15315, -1.2233)",-1.0,-1.0,1
"(0.62379, 1.1013)",-1.0,-1.0,-1
"(-0.87891, 0.4992)",1.0,1.0,1
"(-0.49854, -0.76609)",-1.0,-1.0,1
"(1.0524, 0.70051)",-1.0,-1.0,-1
"(-0.9162, 0.39713)",1.0,-1.0,-1
"(-0.36579, -1.5177)",-1.0,-1.0,1
"(2.0717, 1.3656)",1.0,1.0,1
"(0.21855, 1.5922)",1.0,-1.0,-1
"(-1.9247, -1.1742)",1.0,1.0,1
"(0.48429, -1.2999)",-1.0,-1.0,1
"(-0.52837, 0.9532)",1.0,1.0,1
"(-0.3406, 1.5476)",-1.0,1.0,-1
"(-0.98248, -1.0775)",-1.0,-1.0,1
"(1.2094, 1.2811)",-1.0,-1.0,1
"(0.81199, 0.70836)",-1.0,-1.0,-1
"(0.56593, -0.97719)",1.0,1.0,1
"(1.3616, 0.25759)",-1.0,-1.0,-1
"(-0.20651, -1.3695)",-1.0,-1.0,1
"(-1.4166, -0.32688)",1.0,1.0,1
"(1.7173, -0.47078)",-1.0,-1.0,-1
"(0.80245, 0.13269)",-1.0,1.0,-1
"(2.3428, 1.1291)",1.0,1.0,1
"(-2.0297, -1.655)",1.0,1.0,-1
"(-0.13465, -1.125)",-1.0,-1.0,1
"(-1.536, -0.5979)",1.0,-1.0,1
"(-0.39633, -1.4513)",-1.0,-1.0,1
"(0.0052011, 0.2399)",1.0,1.0,1
"(-1.666, -0.87538)",1.0,1.0,1
"(-1.0001, -1.2249)",-1.0,1.0,1
"(-0.8496, 0.96276)",-1.0,-1.0,1
"(1.6347, -2.1572)",1.0,1.0,1
"(-1.3945, -0.47368)",1.0,-1.0,1
"(-0.42717, -0.48549)",1.0,-1.0,1
"(0.51707, -0.93118)",-1.0,1.0,1
"(0.56125, 1.7426)",1.0,1.0,-1
"(1.4271, 0.56982)",-1.0,-1.0,-1
"(-0.086766, -1.3264)",-1.0,-1.0,1
"(-0.50839, -0.71471)",1.0,1.0,1
"(-1.034, 1.0068)",-1.0,-1.0,1
"(0.97282, 0.6533)",-1.0,-1.0,-1
"(-0.40476, -1.0898)",-1.0,-1.0,1
"(0.23658, -1.2607)",-1.0,1.0,1
"(0.42046, 1.0956)",-1.0,1.0,-1
"(0.75089, 0.60807)",-1.0,1.0,-1
"(1.1114, -0.062821)",-1.0,-1.0,-1
"(-0.06112, -1.4008)",-1.0,-1.0,1
"(-0.89078, 0.99995)",-1.0,1.0,1
"(1.6447, -0.60539)",-1.0,-1.0,-1
"(1.0942, -0.64317)",1.0,1.0,1
"(-0.58161, -0.75229)",1.0,-1.0,1
"(0.6767, 1.0287)",-1.0,1.0,-1
"(0.98497, 1.1602)",-1.0,-1.0,-1
"(0.67558, 0.92465)",-1.0,-1.0,-1
"(0.51954, 1.255)",-1.0,-1.0,-1
"(0.12167, 0.59928)",1.0,1.0,-1
"(0.11769, -1.3683)",-1.0,-1.0,1
"(-0.0051481, 1.7496)",-1.0,1.0,-1
"(0.72983, -0.9904)",1.0,1.0,1
"(0.91589, 1.6301)",-1.0,1.0,-1
"(1.4573, -0.13953)",-1.0,-1.0,-1
"(0.21589, -1.1243)",-1.0,1.0,1
"(0.61506, 0.55755)",-1.0,-1.0,-1
"(-1.2076, -0.85428)",1.0,1.0,1
"(-0.18981, -1.4162)",-1.0,-1.0,1
"(0.60847, 0.01345)",1.0,1.0,-1
"(0.46294, 0.49799)",-1.0,1.0,-1
"(-1.602, -1.3192)",1.0,-1.0,1
"(0.53373, 2.1531)",-1.0,-1.0,-1
"(0.42287, 1.7426)",1.0,-1.0,-1
"(1.1366, 0.14805)",-1.0,-1.0,-1
"(-1.9656, -0.67367)",1.0,-1.0,1
"(-1.0835, 0.1136)",1.0,-1.0,-1
"(0.087969, -1.2523)",-1.0,1.0,1
"(-1.7285, 0.87048)",-1.0,1.0,-1
"(1.1327, 1.0651)",-1.0,-1.0,-1
"(0.32777, 1.2849)",-1.0,-1.0,-1
"(-0.63084, -0.86676)",-1.0,1.0,1
"(2.0333, -0.42685)",-1.0,-1.0,-1
"(1.9063, 1.3704)",1.0,1.0,1
"(-0.21017, 1.3478)",-1.0,-1.0,-1
"(1.6614, 1.4178)",1.0,1.0,1
"(0.84847, 0.40191)",-1.0,1.0,-1
"(1.4091, -2.0938)",1.0,1.0,1
"(1.544, 1.7522)",1.0,1.0,1
"(-0.3507, -1.0031)",-1.0,-1.0,1
"(0.019353, -1.1258)",-1.0,-1.0,1
"(-0.58998, -0.32836)",1.0,1.0,1
"(-0.055224, 0.88207)",1.0,1.0,-1
"(0.83467, -0.01374)",-1.0,1.0,-1
"(-0.13568, -1.4148)",-1.0,-1.0,1
"(0.82507, -1.2837)",1.0,1.0,1
"(0.13705, 1.6869)",-1.0,-1.0,-1
"(-0.8639, -1.5598)",-1.0,1.0,1
"(-0.36874, 0.69157)",1.0,-1.0,1
"(0.30745, -0.67821)",-1.0,1.0,1
"(-1.0387, -1.238)",-1.0,-1.0,1
"(-0.57635, -0.46271)",1.0,1.0,1
"(-1.1776, 0.86164)",-1.0,-1.0,1
"(0.28077, 0.34346)",1.0,-1.0,-1
"(0.057365, -0.13365)",1.0,1.0,1
"(0.39321, 1.6378)",-1.0,1.0,-1
"(0.95182, 0.61552)",-1.0,-1.0,-1
"(0.2351, -1.0642)",-1.0,-1.0,1
"(-0.92557, 0.69425)",-1.0,1.0,1
"(0.26493, -0.37495)",1.0,-1.0,1
"(1.9849, 0.41684)",-1.0,-1.0,-1
"(-0.065898, -1.3294)",-1.0,-1.0,1
"(1.5885, -0.096323)",-1.0,-1.0,-1
"(0.6238, 0.62115)",-1.0,1.0,-1
"(-0.76813, -0.90926)",-1.0,1.0,1
"(0.23539, 0.77209)",1.0,-1.0,-1
"(-1.3128, 0.23929)",1.0,-1.0,-1
"(-0.49405, -1.2177)",-1.0,-1.0,1
"(-1.024, -1.0112)",-1.0,1.0,1
"(-1.1274, -0.063404)",1.0,-1.0,-1
"(-0.020195, -1.264)",-1.0,-1.0,1
"(0.74979, 1.635)",1.0,-1.0,-1
"(1.4854, 0.36515)",-1.0,-1.0,-1
"(-0.47385, -0.91089)",-1.0,1.0,1
"(-0.50318, 1.3538)",-1.0,-1.0,1
"(-0.47562, -1.494)",-1.0,-1.0,1
"(-2.119, -0.575)",1.0,1.0,1
"(-0.55463, 0.9083)",-1.0,1.0,1
"(-1.2335, -0.70269)",1.0,-1.0,1
"(0.029614, 1.2007)",-1.0,-1.0,-1
"(-1.548, 1.0498)",-1.0,-1.0,-1
"(-0.4996, -0.059544)",1.0,-1.0,1
"(-0.32538, 0.96858)",1.0,1.0,1
"(1.8789, -0.14091)",-1.0,-1.0,-1
"(0.85376, 0.094862)",1.0,-1.0,-1
"(-0.81708, -0.78258)",-1.0,1.0,1
"(0.24425, 1.8366)",1.0,1.0,-1
"(0.731, 1.7405)",1.0,-1.0,-1
"(-0.58003, -1.0917)",-1.0,-1.0,1
"(1.3496, -0.17671)",-1.0,-1.0,-1
"(1.2348, 2.1907)",-1.0,-1.0,1
"(-1.097, 0.81097)",-1.0,-1.0,1
"(0.81735, -0.94122)",1.0,1.0,1
"(1.2606, -1.5704)",1.0,1.0,1
"(-0.59607, -0.98858)",-1.0,-1.0,1
"(1.1484, -1.5189)",1.0,1.0,1
"(0.072652, -1.4624)",-1.0,-1.0,1
"(0.052619, -1.3137)",-1.0,-1.0,1
"(0.5773, 0.62754)",-1.0,-1.0,-1
"(1.0137, 0.2572)",-1.0,-1.0,-1
"(0.30792, 0.11747)",1.0,1.0,1
"(-0.65306, 0.4328)",1.0,-1.0,1
"(0.74157, 0.74357)",-1.0,-1.0,-1
"(0.22368, 1.5729)",1.0,1.0,-1
"(-0.10294, -0.41444)",1.0,-1.0,1
"(-0.47061, -0.91882)",-1.0,1.0,1
"(0.50181, -0.53642)",1.0,-1.0,1
"(-0.82009, -1.0448)",-1.0,1.0,1
"(-1.0347, -0.85838)",1.0,-1.0,1
"(-0.58809, -1.346)",-1.0,-1.0,1
"(1.2977, 0.18623)",-1.0,-1.0,-1
"(-0.52868, -1.0244)",-1.0,1.0,1
"(1.5731, 1.1598)",1.0,1.0,1
"(1.3815, -0.24421)",-1.0,-1.0,-1
"(-0.027497, -1.4151)",-1.0,1.0,1
"(-0.61476, -0.96971)",-1.0,1.0,1
"(0.74023, 1.5349)",1.0,1.0,-1
"(0.64171, 1.6543)",1.0,-1.0,-1
"(0.33133, 0.1847)",1.0,-1.0,-1
"(-0.46072, 0.3427)",1.0,1.0,1
"(1.9699, 0.99027)",1.0,1.0,1
"(0.98989, 0.77071)",-1.0,-1.0,-1
"(0.30554, -0.16062)",1.0,-1.0,1
"(0.76926, 0.77155)",-1.0,-1.0,-1
"(-0.16668, -0.63279)",1.0,1.0,1
"(0.79421, 0.76228)",-1.0,1.0,-1
"(-0.99126, 0.11408)",1.0,-1.0,-1
"(0.049593, -1.0502)",-1.0,-1.0,1
"(0.34469, -0.8911)",-1.0,-1.0,1
"(0.69485, 0.65136)",-1.0,-1.0,-1
"(-0.39427, -0.33768)",1.0,1.0,1
"(1.669, 0.087693)",-1.0,-1.0,-1
"(0.30277, -1.3539)",-1.0,1.0,1
"(-2.0109, 0.43905)",-1.0,1.0,-1
"(1.1157, 1.0073)",-1.0,-1.0,-1
"(-0.69938, 0.75491)",-1.0,1.0,1
"(-0.73369, -1.095)",-1.0,1.0,1
"(-0.10724, -1.499)",-1.0,-1.0,1
"(-1.7761, -1.0749)",1.0,1.0,1
"(-0.85588, -0.66446)",1.0,1.0,1
"(-0.30995, 1.4459)",-1.0,1.0,-1
"(0.70721, 0.94767)",-1.0,1.0,-1
"(1.0848, -1.0228)",1.0,1.0,1
"(0.4393, 1.4992)",-1.0,1.0,-1
"(0.81091, 2.0009)",-1.0,-1.0,-1
"(0.24963, -1.0988)",-1.0,-1.0,1
"(-3.0898, -0.83169)",-1.0,-1.0,1
"(-0.22086, 0.12043)",1.0,1.0,1
"(-0.65233, -1.1043)",-1.0,-1.0,1
"(2.0627, -0.48154)",-1.0,-1.0,-1
"(-0.14503, -1.3873)",-1.0,-1.0,1
"(0.13704, 1.9444)",1.0,-1.0,-1
"(-1.3598, 0.88666)",-1.0,1.0,-1
"(-1.3107, -1.1079)",1.0,-1.0,1
"(-0.63855, 1.2536)",-1.0,1.0,1
"(0.70093, 0.56424)",-1.0,1.0,-1
"(1.1234, 0.42208)",-1.0,-1.0,-1
"(1.2529, -0.32199)",-1.0,-1.0,-1
"(-0.85036, -0.91999)",-1.0,-1.0,1
"(-0.53909, 0.64814)",1.0,-1.0,1
"(-0.20097, 0.59585)",1.0,1.0,1
"(-1.1408, 0.69307)",-1.0,-1.0,-1
"(-1.5973, -0.54131)",1.0,-1.0,1
"(-0.9355, 1.8104)",-1.0,-1.0,1
"(1.3503, -1.5074)",1.0,1.0,1
"(0.89402, -0.99151)",1.0,-1.0,1
"(-0.48726, -0.53565)",1.0,1.0,1
"(1.4055, 0.60673)",-1.0,-1.0,-1
"(-1.3832, 0.097311)",1.0,-1.0,-1
"(-0.2963, 0.53799)",1.0,-1.0,1
"(-0.84676, -0.89627)",-1.0,-1.0,1
"(0.76223, 0.34357)",-1.0,-1.0,-1
"(-0.6087, -0.91657)",-1.0,1.0,1
"(0.37938, 1.7439)",-1.0,1.0,-1
"(-2.0383, -0.97792)",1.0,1.0,1
"(-0.74193, 0.3599)",1.0,-1.0,1
"(1.3359, 0.27411)",-1.0,-1.0,-1
"(-0.75683, 0.29839)",1.0,1.0,1
"(-1.4208, -1.4037)",-1.0,-1.0,1
"(-0.2755, -1.1921)",-1.0,1.0,1
"(-1.2792, -1.1664)",1.0,-1.0,1
"(-1.4736, -0.21242)",1.0,1.0,-1
"(-0.96999, -1.603)",-1.0,-1.0,1
"(-0.86046, -1.2658)",-1.0,1.0,1
"(-1.1444, 0.30424)",1.0,1.0,-1
"(0.61965, -0.98624)",1.0,-1.0,1
"(-1.6176, -1.8497)",1.0,-1.0,-1
"(0.042626, -1.1785)",-1.0,1.0,1
"(-0.50825, -0.69438)",1.0,-1.0,1
"(1.8384, 1.1792)",1.0,1.0,1
"(0.55993, 1.6966)",1.0,-1.0,-1
"(0.31402, -1.2546)",-1.0,1.0,1
"(1.0749, 0.43793)",-1.0,-1.0,-1
"(1.7146, -0.28882)",-1.0,-1.0,-1
"(1.3887, -1.1053)",1.0,1.0,1
"(-0.32257, -0.26362)",1.0,1.0,1
"(-0.94119, 0.97597)",-1.0,1.0,1
"(0.031877, 1.3893)",-1.0,1.0,-1
"(-0.32611, 0.076876)",1.0,-1.0,1
"(-1.9805, 0.87515)",-1.0,1.0,-1
"(-0.75169, -0.11688)",1.0,-1.0,1
"(0.73979, 0.053037)",1.0,-1.0,-1
"(-1.059, 1.489)",-1.0,1.0,1
"(0.47074, 1.3938)",-1.0,-1.0,-1
"(1.6442, 0.17429)",-1.0,-1.0,-1
"(-1.4291, 0.70705)",-1.0,1.0,-1
"(-0.19974, 1.7356)",1.0,-1.0,-1
"(-0.34309, -1.3911)",-1.0,-1.0,1
"(-1.4616, 0.082911)",1.0,-1.0,-1
"(0.46344, -1.2753)",-1.0,1.0,1
"(-1.5833, -0.84159)",1.0,1.0,1
"(-1.5937, -1.3568)",1.0,-1.0,1
"(-0.89955, 0.8583)",-1.0,-1.0,1
"(0.61069, 0.97812)",-1.0,-1.0,-1
"(0.78581, 0.85881)",-1.0,1.0,-1
"(0.247, -0.96031)",-1.0,-1.0,1
"(0.31591, -0.6006)",1.0,1.0,1
"(-0.29088, 0.56086)",1.0,-1.0,1
"(1.305, -1.4006)",1.0,1.0,1
"(-0.29375, -1.5418)",-1.0,1.0,1
"(1.4985, 0.63664)",-1.0,-1.0,-1
"(0.042814, -1.043)",-1.0,1.0,1
"(-1.1058, -0.35089)",1.0,1.0,1
"(1.2185, -0.36143)",1.0,1.0,-1
"(1.4542, -1.7756)",1.0,1.0,1
"(0.4471, 0.91966)",-1.0,1.0,-1
"(0.64568, 1.2331)",-1.0,1.0,-1
"(0.70707, 1.3724)",-1.0,1.0,-1
"(-0.37905, -1.5994)",-1.0,1.0,1
"(0.6594, 1.0699)",-1.0,1.0,-1
"(0.35743, 0.64672)",-1.0,1.0,-1
"(-0.75754, -1.2075)",-1.0,-1.0,1
"(0.29503, -0.27348)",1.0,1.0,1
"(0.22388, 1.7477)",1.0,-1.0,-1
"(-1.0105, -0.15507)",1.0,-1.0,1
"(-0.3374, -1.4511)",-1.0,-1.0,1
"(-1.8056, 0.075791)",1.0,-1.0,-1
"(-1.1827, -0.52184)",1.0,-1.0,1
"(0.28366, 2.3726)",-1.0,1.0,-1
"(-0.91, -0.60713)",1.0,-1.0,1
"(1.0345, 0.2525)",1.0,1.0,-1
"(-2.1062, -1.5087)",1.0,1.0,1
"(-1.101, 0.81697)",-1.0,-1.0,1
"(0.19767, -1.4116)",-1.0,1.0,1
"(-0.1353, -1.1007)",-1.0,-1.0,1
"(-0.07603, -1.1248)",-1.0,1.0,1
"(2.3433, 1.6386)",1.0,1.0,1
"(-1.867, -1.2596)",1.0,1.0,1
"(-0.90081, -1.1296)",-1.0,-1.0,1
"(-1.0381, -0.20005)",1.0,1.0,1
"(-0.96372, 0.10829)",1.0,1.0,-1
"(-0.88896, -0.88412)",-1.0,1.0,1
"(1.327, 0.82466)",-1.0,-1.0,-1
"(1.0432, -0.23964)",1.0,1.0,-1
"(1.0802, -1.7553)",1.0,1.0,1
"(1.4231, 1.493)",1.0,1.0,1
"(-1.3702, 0.14996)",1.0,-1.0,-1
"(-0.25883, 0.99624)",-1.0,-1.0,1
"(0.55723, -1.0364)",1.0,-1.0,1
"(2.1412, -0.45337)",-1.0,-1.0,-1
"(1.287, 0.52475)",-1.0,-1.0,-1
"(0.37865, -0.75504)",-1.0,-1.0,1
"(-0.87831, 0.65854)",-1.0,1.0,1
"(-0.9529, 1.0564)",-1.0,-1.0,1
"(0.89861, 1.4022)",1.0,1.0,-1
"(-0.11127, -1.3306)",-1.0,1.0,1
"(-0.50748, 1.893)",-1.0,-1.0,1
"(1.0635, 0.62906)",-1.0,-1.0,-1
"(-1.1129, -0.65294)",1.0,-1.0,1
"(-0.81475, -0.68173)",1.0,1.0,1
"(0.043819, 0.53625)",1.0,-1.0,-1
"(0.2504, 0.466)",1.0,-1.0,-1
"(-1.4, -0.37037)",1.0,1.0,1
"(0.86691, 0.80993)",-1.0,1.0,-1
"(0.77836, 0.95156)",-1.0,1.0,-1
"(2.5207, 1.4258)",1.0,1.0,1
"(-1.6178, -0.71157)",1.0,-1.0,1
"(1.4564, 1.6858)",1.0,1.0,1
"(-1.8406, -0.86529)",1.0,-1.0,1
"(-0.018657, -1.5456)",-1.0,1.0,1
"(-0.19663, 0.54418)",1.0,1.0,1
"(-1.325, -0.12015)",1.0,1.0,-1
"(0.24405, -0.69023)",1.0,-1.0,1
"(-0.78532, -0.36132)",1.0,1.0,1
"(1.1763, 0.20386)",-1.0,-1.0,-1
"(0.12904, 1.5201)",-1.0,-1.0,-1
"(-0.71246, -1.0982)",-1.0,1.0,1
"(-0.56816, -1.3626)",-1.0,-1.0,1
"(1.264, 1.2139)",1.0,1.0,1
"(-0.36197, -1.7031)",-1.0,-1.0,1
"(0.41519, 1.7976)",-1.0,-1.0,-1
"(2.5525, 1.3985)",1.0,1.0,1
"(0.84989, -0.82897)",1.0,1.0,1
"(1.5845, -1.2893)",1.0,1.0,1
"(-0.39748, -1.1012)",-1.0,-1.0,1
"(0.55245, 1.043)",-1.0,-1.0,-1
"(-0.48993, 1.253)",-1.0,1.0,1
"(0.0016784, 0.26233)",1.0,-1.0,1
"(-0.22754, -1.0598)",-1.0,-1.0,1
"(1.1338, 1.3763)",1.0,1.0,1
"(-1.5045, -1.1403)",1.0,-1.0,1
"(0.56042, 1.1786)",-1.0,1.0,-1
"(1.5179, -1.339)",1.0,1.0,1
"(-0.47891, 0.071929)",1.0,1.0,1
"(-0.029912, 0.61678)",1.0,-1.0,-1
"(0.77668, 0.3124)",-1.0,-1.0,-1
"(-0.55805, -1.6686)",-1.0,-1.0,1
"(-0.39586, -1.3808)",-1.0,-1.0,1
"(1.1836, 1.3635)",1.0,1.0,1
"(-1.4368, -0.77509)",1.0,-1.0,1
"(1.0538, -0.36193)",1.0,1.0,1
"(0.53219, -0.043067)",1.0,-1.0,1
"(0.19244, 1.9448)",1.0,1.0,-1
"(1.0503, -0.65469)",1.0,1.0,1
"(1.2988, 0.5551)",-1.0,-1.0,-1
"(-1.0423, 1.2654)",-1.0,-1.0,1
"(-0.45568, 1.5484)",-1.0,1.0,1
"(1.0549, 0.89882)",-1.0,-1.0,-1
"(-1.1233, 0.69921)",-1.0,-1.0,-1
"(0.91399, 0.25969)",-1.0,1.0,-1
"(1.71, 0.021693)",-1.0,-1.0,-1
"(0.17711, 0.73114)",1.0,-1.0,-1
"(-0.67569, 1.3005)",-1.0,1.0,1
"(-0.19249, 1.0385)",-1.0,-1.0,-1
"(0.096848, 0.58897)",1.0,1.0,-1
"(0.75834, -1.4517)",-1.0,1.0,1
"(1.3156, -1.2332)",1.0,1.0,1
"(0.65073, -1.0814)",-1.0,-1.0,1
"(-0.020799, 1.755)",1.0,-1.0,-1
"(-0.68254, 0.13947)",1.0,-1.0,1
"(-0.57262, -0.78914)",1.0,1.0,1
"(0.20362, -1.0581)",-1.0,-1.0,1
"(-1.4403, -0.35842)",1.0,1.0,1
"(0.29354, -1.4972)",-1.0,1.0,1
"(-0.49655, 1.0667)",-1.0,-1.0,1
"(-0.82775, -0.82042)",-1.0,-1.0,1
"(0.97369, -1.471)",1.0,1.0,1
"(1.0069, -0.74326)",1.0,1.0,1
"(1.742, 0.19467)",-1.0,-1.0,-1
"(1.1693, 0.51055)",-1.0,-1.0,-1
"(-0.215, -1.006)",-1.0,-1.0,1
"(-0.11302, 0.62583)",1.0,1.0,-1
"(-0.093171, 0.4724)",1.0,1.0,1
"(1.4436, 0.09457)",-1.0,-1.0,-1
"(-1.6327, -1.4147)",1.0,1.0,1
"(-0.21644, -1.3815)",-1.0,-1.0,1
"(-0.06519, 0.63052)",1.0,-1.0,-1
"(-0.11382, -0.14677)",1.0,1.0,1
"(0.3118, -1.2267)",-1.0,1.0,1
"(-0.42499, 0.99561)",1.0,-1.0,1
"(-0.73933, -0.065976)",1.0,1.0,1
"(0.055823, 1.8751)",-1.0,-1.0,-1
"(-1.4265, 1.2451)",-1.0,-1.0,1
"(0.95466, 0.14154)",1.0,1.0,-1
"(-1.6359, -0.56151)",1.0,1.0,1
"(0.51693, 1.7135)",-1.0,-1.0,-1
"(-1.8954, 0.10568)",1.0,1.0,-1
"(-0.22601, -1.0938)",-1.0,-1.0,1
"(1.5845, -0.46782)",-1.0,-1.0,-1
"(-0.057073, -1.501)",-1.0,1.0,1
"(-1.0484, 0.21912)",1.0,-1.0,-1
"(1.4455, -1.0344)",1.0,1.0,1
"(0.27599, 0.3974)",1.0,1.0,-1
"(0.63093, -0.67379)",1.0,1.0,1
"(-1.7743, 1.0148)",-1.0,1.0,-1
"(1.1553, 0.59769)",-1.0,-1.0,-1
"(1.086, 0.81164)",-1.0,-1.0,-1
"(0.81157, -0.75057)",1.0,1.0,1
